generation,seed_0,seed_1,seed_2,seed_3,seed_4,mean,std
0,228.04,210.24,239.13,273.24,230.26,236.18,20.77
1,234.63,209.44,251.09,309.65,233.39,247.64,33.73
2,231.68,212.51,247.95,283.61,237.86,242.72,23.48
3,242.13,219.26,243.50,288.22,232.69,245.16,23.21
4,246.31,216.78,251.31,273.27,232.70,244.08,18.89
5,231.07,210.57,268.68,266.26,257.52,246.82,22.51
6,239.29,218.47,268.19,265.76,244.01,247.14,18.35
7,243.79,211.14,267.13,275.15,262.81,252.00,22.88
8,268.54,213.09,306.13,283.14,259.69,266.12,30.82
9,249.17,215.06,259.38,270.79,267.16,252.31,20.05
10,250.10,228.55,317.87,284.89,284.78,273.24,30.96
11,242.18,212.53,332.30,289.58,267.22,268.76,40.84
12,252.44,215.59,283.85,307.16,301.37,272.08,34.07
13,251.72,218.35,311.74,289.69,286.25,271.55,32.82
14,255.54,214.62,257.57,275.75,270.75,254.85,21.52
15,238.16,216.82,305.72,282.51,286.62,265.96,33.07
16,250.61,224.83,317.20,276.96,302.56,274.43,33.63
17,255.07,220.60,316.00,277.03,286.45,271.03,31.92
18,269.02,217.41,264.99,278.66,309.18,267.85,29.59
19,262.28,218.59,299.15,310.41,316.01,281.29,36.51
20,269.79,222.57,309.42,271.53,327.54,280.17,36.33
21,276.92,222.39,302.61,293.57,343.17,287.73,39.28
22,261.85,226.77,323.16,300.72,317.44,285.99,36.55
23,268.59,224.90,357.26,296.71,337.82,297.05,47.55
24,270.50,224.23,326.19,296.82,335.33,290.61,40.29
25,265.56,227.16,350.80,306.46,325.00,295.00,43.85
26,272.86,230.74,337.90,290.25,342.79,294.91,41.87
27,284.61,229.16,325.98,284.87,322.73,289.47,34.99
28,296.98,233.52,295.36,293.01,348.30,293.44,36.38
29,284.79,237.66,324.95,315.22,363.89,305.30,42.22
30,286.84,265.28,319.87,303.28,345.42,304.14,27.43
31,307.52,277.98,320.65,299.10,371.58,315.37,31.34
32,304.54,258.82,329.70,300.41,349.29,308.55,30.53
33,298.53,265.69,378.68,298.31,358.30,319.90,41.93
34,305.56,283.78,341.49,289.97,363.81,316.92,30.84
35,302.55,299.60,349.07,301.58,350.40,320.64,23.78
36,301.20,302.39,345.17,304.42,380.72,326.78,31.61
37,301.94,319.29,332.14,318.80,392.51,332.93,31.29
38,307.60,318.73,341.54,295.20,394.01,331.42,34.82
39,297.44,304.04,341.93,316.49,354.53,322.89,21.94
40,311.66,321.56,377.05,303.82,404.34,343.69,39.74
41,313.34,314.21,342.45,300.25,391.47,332.34,32.61
42,317.11,314.38,387.02,311.99,367.24,339.54,31.36
43,308.15,318.33,332.19,320.58,400.93,336.03,33.34
44,313.17,319.78,411.51,321.36,367.58,346.68,37.76
45,317.77,326.71,376.54,325.53,381.35,345.58,27.46
46,325.10,333.80,389.74,320.91,372.81,348.47,27.63
47,314.67,337.38,358.94,324.87,368.24,340.82,20.15
48,326.39,335.25,343.50,302.64,364.40,334.44,20.28
49,323.99,325.85,337.47,329.77,406.97,344.81,31.42
50,315.28,339.99,369.45,309.17,388.20,344.42,30.51
51,311.27,340.69,341.75,343.31,400.04,347.41,28.88
52,328.78,337.62,341.75,313.18,372.81,338.83,19.62
53,328.19,353.79,355.33,309.18,394.94,348.28,28.95
54,325.77,358.51,361.06,316.11,413.54,355.00,34.19
55,324.05,331.06,333.27,326.42,406.15,344.19,31.15
56,322.24,330.44,338.97,320.55,362.02,334.84,15.09
57,332.71,334.97,335.48,326.92,391.05,344.23,23.61
58,318.08,346.87,381.74,318.06,391.02,351.15,30.76
59,327.47,338.19,393.70,320.36,380.23,351.99,29.43
60,331.10,343.32,337.15,325.92,407.53,349.00,29.84
61,337.02,357.47,344.28,335.43,402.70,355.38,24.91
62,315.70,336.31,333.06,316.58,403.43,341.02,32.31
63,345.09,328.89,355.23,330.11,410.56,353.98,29.94
64,327.34,344.69,339.70,313.73,391.59,343.41,26.37
65,328.81,334.71,342.56,334.60,397.49,347.63,25.31
66,328.24,337.60,335.64,336.37,402.18,348.01,27.28
67,327.11,335.29,367.85,319.24,413.93,352.68,34.80
68,328.23,347.59,366.25,312.57,364.58,343.84,20.82
69,332.19,343.48,352.17,317.64,393.88,347.87,25.75
70,332.00,343.19,367.34,324.51,421.76,357.76,35.13
71,333.15,360.61,359.35,329.16,412.91,359.04,29.89
72,330.37,342.60,344.68,347.18,393.58,351.68,21.73
73,332.91,349.56,353.33,317.90,401.99,351.14,28.39
74,324.56,346.00,360.28,328.05,408.31,353.44,30.30
75,341.88,360.19,353.01,335.00,390.39,356.09,19.23
76,331.14,347.00,367.43,321.10,469.91,367.32,53.64
77,353.70,339.70,372.81,329.46,408.65,360.87,27.97
78,334.98,340.22,359.47,338.58,407.57,356.16,27.08
79,346.50,340.05,362.80,326.99,420.65,359.40,32.72
80,334.02,350.02,349.83,325.55,440.52,359.99,41.35
81,334.71,345.08,334.17,325.98,387.59,345.51,21.90
82,339.54,349.57,400.27,351.27,485.92,385.31,54.55
83,340.75,344.73,370.45,326.64,431.75,362.86,37.24
84,328.05,352.38,368.20,357.58,400.35,361.31,23.54
85,332.99,358.84,365.10,306.46,386.21,349.92,27.58
86,338.26,351.91,362.32,339.56,440.47,366.51,38.01
87,334.64,348.09,376.16,347.79,397.08,360.75,22.66
88,343.02,341.20,363.49,343.47,420.17,362.27,30.08
89,328.76,345.93,363.80,350.43,463.50,370.48,47.84
90,336.37,351.12,376.40,344.20,422.40,366.10,31.19
91,345.17,348.23,353.97,322.71,423.73,358.76,34.17
92,329.09,364.70,376.88,345.90,429.65,369.24,34.31
93,333.70,357.35,350.19,329.26,440.27,362.15,40.40
94,344.13,357.19,359.66,357.81,427.37,369.23,29.59
95,341.84,356.69,382.83,332.99,443.44,371.56,39.71
96,333.01,360.80,362.91,322.09,421.46,360.05,34.50
97,344.20,357.90,380.56,338.03,448.26,373.79,40.00
98,346.82,360.51,384.34,367.75,495.31,390.95,53.57
99,342.24,357.25,414.45,361.27,415.66,378.18,30.78
